Date,Value
2016-03-17,1119.16
2016-03-16,1109.31
2016-03-15,1108.71
2016-03-14,1118.89
2016-03-11,1133.39
2016-03-10,1136.23
2016-03-09,1132.01
2016-03-08,1146.24
2016-03-07,1154.37
2016-03-04,1160.63
2016-03-03,1143.66
2016-03-02,1144.44
2016-03-01,1138.63
2016-02-29,1136.53
2016-02-26,1122.5
2016-02-25,1120.28
2016-02-24,1134.78
2016-02-23,1107.9
2016-02-22,1098.16
2016-02-19,1108.5
2016-02-18,1090.23
2016-02-17,1086.81
2016-02-16,1085.29
2016-02-15,1084.12
2016-02-12,1102.59
2016-02-11,1094.02
2016-02-10,1063.02
2016-02-09,1053.1
2016-02-08,1070.42
2016-02-05,1032.31
2016-02-04,1035.23
2016-02-03,1024.48
2016-02-02,1035.27
2016-02-01,1034.1
2016-01-29,1027.49
2016-01-28,1018.33
2016-01-27,1026.82
2016-01-26,1026.5
2016-01-25,1021.56
2016-01-22,1012.75
2016-01-21,1013.07
2016-01-20,1011.06
2016-01-19,996.7
2016-01-18,1001.52
2016-01-15,998.68
2016-01-14,1004.11
2016-01-13,1002.95
2016-01-12,1002.59
2016-01-11,1014.14
2016-01-08,1010.36
2016-01-07,1021.28
2016-01-06,1015.26
2016-01-05,1004.57
2016-01-04,1001.67
2016-01-01,975.79
2015-12-31,975.79
2015-12-30,971.27
2015-12-29,981.2
2015-12-28,973.66
2015-12-25,974.81
2015-12-24,974.81
2015-12-23,981.89
2015-12-22,980.17
2015-12-21,988.09
2015-12-18,979.76
2015-12-17,968.62
2015-12-16,982.55
2015-12-15,971.98
2015-12-14,968.71
2015-12-11,975.27
2015-12-10,979.25
2015-12-09,986.09
2015-12-08,986.2
2015-12-07,991.29
2015-12-04,991.18
2015-12-03,972.63
2015-12-02,998.2
2015-12-01,1004.38
2015-11-30,1005.44
2015-11-27,998.07
2015-11-26,1008.57
2015-11-25,1007.36
2015-11-24,1011.61
2015-11-23,1008.15
2015-11-20,1013.82
2015-11-19,1008.34
2015-11-18,1002.87
2015-11-17,1013.29
2015-11-16,1012.18
2015-11-13,1007.78
2015-11-12,1011.11
2015-11-11,1012.16
2015-11-10,1016.6
2015-11-09,1014.05
2015-11-06,1013.73
2015-11-05,1018.36
2015-11-04,1026.29
2015-11-03,1025.48
2015-11-02,1027.69
2015-10-30,1034.13
2015-10-29,1047.95
2015-10-28,1066.02
2015-10-27,1054.93
2015-10-26,1055.71
2015-10-23,1052.57
2015-10-22,1045.65
2015-10-21,1027.87
2015-10-20,1038.35
2015-10-19,1039.26
2015-10-16,1037.93
2015-10-15,1040.05
2015-10-14,1026.5
2015-10-13,1024.49
2015-10-12,1024.31
2015-10-09,1014.18
2015-10-08,1010.86
2015-10-07,1018.6
2015-10-06,1018.82
2015-10-05,1016.59
2015-10-02,1011.71
2015-10-01,998.75
2015-09-30,997.99
2015-09-29,1009.05
2015-09-28,1009.1
2015-09-25,1026.22
2015-09-24,1022.72
2015-09-23,1015.12
2015-09-22,1008.58
2015-09-21,1012.28
2015-09-18,1003.34
2015-09-17,987.5
2015-09-16,989.42
2015-09-15,980.89
2015-09-14,978.31
2015-09-11,974.79
2015-09-10,988.64
2015-09-09,993.82
2015-09-08,1002.32
2015-09-07,1003.23
2015-09-04,1006.03
2015-09-03,1016.54
2015-09-02,1013.09
2015-09-01,1014.61
2015-08-31,1012.94
2015-08-28,1011.45
2015-08-27,997.73
2015-08-26,982.73
2015-08-25,996.85
2015-08-24,1007.73
2015-08-21,1022.19
2015-08-20,1024.87
2015-08-19,1018.63
2015-08-18,1007.25
2015-08-17,1010.25
2015-08-14,1006.44
2015-08-13,1003.6
2015-08-12,1000.04
2015-08-11,1003.17
2015-08-10,999.04
2015-08-07,999.59
2015-08-06,998.58
2015-08-05,998.57
2015-08-04,995.07
