,Date,Volume (BTC)
172,2015-12-20,16626.4883553
173,2015-12-21,18930.863186099996
174,2015-12-22,8146.01738798
175,2015-12-23,7100.2282874
176,2015-12-24,10138.31555
177,2015-12-25,2877.16735131
178,2015-12-26,26672.1217307
179,2015-12-27,6968.57365917
180,2015-12-28,7560.56299201
181,2015-12-29,10419.585366
182,2015-12-30,7717.51026264
183,2015-12-31,6634.86316708
184,2016-01-01,3788.11117403
185,2016-01-02,2972.06344935
186,2016-01-03,4571.09703841
187,2016-01-04,5717.59545799
188,2016-01-05,3881.72086195
189,2016-01-06,5507.61422624
190,2016-01-07,16833.4191567
191,2016-01-08,10258.994585200002
192,2016-01-09,4396.0450009
193,2016-01-10,4078.61065365
194,2016-01-11,7986.45843125
195,2016-01-12,6930.89654863
196,2016-01-13,10067.0210455
197,2016-01-14,4420.91215989
198,2016-01-15,37326.7014145
199,2016-01-16,25019.2519932
200,2016-01-17,8416.94363509
201,2016-01-18,7015.52993583
202,2016-01-19,7223.00324232
203,2016-01-20,25172.917419499998
204,2016-01-21,9414.55707194
205,2016-01-22,14744.757763
206,2016-01-23,7664.89092787
207,2016-01-24,5448.8452132
208,2016-01-25,8040.83085608
209,2016-01-26,6589.15355022
210,2016-01-27,4262.62933663
211,2016-01-28,11414.0454985
212,2016-01-29,13544.145419999999
213,2016-01-30,2587.10717327
214,2016-01-31,4166.66582034
215,2016-02-01,7255.13421769
216,2016-02-02,5719.11332356
217,2016-02-03,7107.78660836
218,2016-02-04,13446.479683000001
219,2016-02-05,7372.61395629
220,2016-02-06,5735.69706556
221,2016-02-07,2885.48241846
222,2016-02-08,6943.10816682
223,2016-02-09,5779.6801008
224,2016-02-10,10006.6332925
225,2016-02-11,7471.96039009
226,2016-02-12,5996.09236146
227,2016-02-13,7324.96634134
228,2016-02-14,9758.39271132
229,2016-02-15,7906.69773619
230,2016-02-16,8354.83032093
231,2016-02-17,11842.7778287
232,2016-02-18,8588.92668864
233,2016-02-19,5015.53810237
234,2016-02-20,11633.2727425
235,2016-02-21,10300.352604200001
236,2016-02-22,5840.316054600001
237,2016-02-23,10509.6050782
238,2016-02-24,7258.35730294
239,2016-02-25,5597.96719924
240,2016-02-26,4635.1202274
241,2016-02-27,4159.35798035
242,2016-02-28,3501.18941279
243,2016-02-29,8463.34883153
244,2016-03-01,6941.51621427
245,2016-03-02,5788.38363163
246,2016-03-03,7483.646755500001
247,2016-03-04,7789.00370914
248,2016-03-05,16436.4038617
249,2016-03-06,5692.00930852
250,2016-03-07,5937.73379583
251,2016-03-08,5576.2582036
252,2016-03-09,4876.78893016
253,2016-03-10,5255.2994530000005
254,2016-03-11,5950.80704895
255,2016-03-12,4640.49424972
256,2016-03-13,3286.86910903
257,2016-03-14,4470.78743496
258,2016-03-15,4569.87994639
259,2016-03-16,4100.47706379
260,2016-03-17,3704.16067257
261,2016-03-18,6391.24659493
262,2016-03-19,2870.24736036
263,2016-03-20,2579.0021276
264,2016-03-21,3546.2789106
265,2016-03-22,3950.15519464
266,2016-03-23,4946.39651107
267,2016-03-24,2776.60883207
268,2016-03-25,2588.78272326
269,2016-03-26,1253.0063756
270,2016-03-27,5038.8775332
271,2016-03-28,3283.79146452
272,2016-03-29,5955.00099026
273,2016-03-30,4824.85455188
274,2016-03-31,3774.42082775
275,2016-04-01,3736.77266241
276,2016-04-02,2072.95050098
277,2016-04-03,1337.67303294
278,2016-04-04,3457.56274345
279,2016-04-05,3956.55659754
280,2016-04-06,2396.3483709
281,2016-04-07,3216.81131955
282,2016-04-08,4584.13099271
283,2016-04-09,3599.39669345
284,2016-04-10,1779.82860787
285,2016-04-11,3487.8325098000005
286,2016-04-12,6082.73402325
287,2016-04-13,3917.08383409
288,2016-04-14,3863.79952226
289,2016-04-15,4406.24086239
290,2016-04-16,1848.39276214
291,2016-04-17,1502.86305955
292,2016-04-18,3180.43077191
293,2016-04-19,3798.23746594
294,2016-04-20,7602.64664993
295,2016-04-21,5421.15632535
296,2016-04-22,5494.44115676
297,2016-04-23,2250.0352108
298,2016-04-24,7103.31254852
299,2016-04-25,5607.18864396
300,2016-04-26,4629.18548678
301,2016-04-27,7084.23987101
302,2016-04-28,8736.25774023
303,2016-04-29,2982.54077936
304,2016-04-30,2419.58249945
305,2016-05-01,1190.69815095
306,2016-05-02,6362.93159046
307,2016-05-03,5576.91459995
308,2016-05-04,3327.60727439
309,2016-05-05,2569.5932008
310,2016-05-06,5540.13889435
311,2016-05-07,2004.63685564
312,2016-05-08,1353.23221968
313,2016-05-09,3536.50388948
314,2016-05-10,5746.15794317
315,2016-05-11,3352.58050446
316,2016-05-12,3453.49239803
317,2016-05-13,2822.65051924
318,2016-05-14,1377.71832273
319,2016-05-15,1612.71056651
320,2016-05-16,3248.19201842
321,2016-05-17,3430.47946611
322,2016-05-18,2608.23175369
323,2016-05-19,5961.1150858
324,2016-05-20,3448.22731015
325,2016-05-21,1916.43483232
326,2016-05-22,2350.68206329
327,2016-05-23,2625.60063214
328,2016-05-24,3072.77859999
329,2016-05-25,3663.31591095
330,2016-05-26,3768.49837209
331,2016-05-27,12234.203319299999
332,2016-05-28,12568.0311236
333,2016-05-29,8215.67477949
334,2016-05-30,6074.77470614
335,2016-05-31,12071.1819586
336,2016-06-01,5456.942657
337,2016-06-02,3939.35132757
338,2016-06-03,8801.774634700001
339,2016-06-04,6216.6271931
340,2016-06-05,5415.93469447
341,2016-06-06,4465.51612085
342,2016-06-07,6705.91830357
343,2016-06-08,3259.15110512
344,2016-06-09,3770.7182618
345,2016-06-10,3458.56492292
346,2016-06-11,4000.07125397
347,2016-06-12,14138.3068012
348,2016-06-13,17280.603971
349,2016-06-14,10633.4405021
350,2016-06-15,5783.92382786
351,2016-06-16,17946.826847
352,2016-06-17,14687.2708368
353,2016-06-18,5903.47180558
354,2016-06-19,2617.27920864
355,2016-06-20,7975.97107838
356,2016-06-21,33056.2896443
357,2016-06-22,16456.4087792
