,Date,Average Volume per Week (BTC)
232,2017-09-24,10841.944596248572
233,2017-10-01,8271.696269331429
234,2017-10-08,14384.999798050001
235,2017-10-15,12723.28983652
236,2017-10-22,12403.661536825715
237,2017-10-29,14823.764232067142
238,2017-11-05,17315.95512585143
239,2017-11-12,19681.84842002286
240,2017-11-19,9566.53947311857
241,2017-11-26,17335.655655311428
242,2017-12-03,18195.494272554282
243,2017-12-10,15413.633913047142
244,2017-12-17,25248.244568624283
245,2017-12-24,16084.506759478574
246,2017-12-31,12657.152836947143
247,2018-01-07,14036.264001874284
248,2018-01-14,20414.55982194
249,2018-01-21,13308.361856685715
250,2018-01-28,20107.01916778714
251,2018-02-04,32156.06149063857
252,2018-02-11,14861.605484342856
253,2018-02-18,16483.338119208573
254,2018-02-25,10527.17737018
255,2018-03-04,17434.20302443143
256,2018-03-11,17040.852293141426
257,2018-03-18,14366.952864475714
258,2018-03-25,15784.48309536143
259,2018-04-01,13085.120146412857
260,2018-04-08,10619.581623978573
