,Date,Average Volume per Week
99,2015-03-08,2432349.6269471426
100,2015-03-15,2398503.8394931434
101,2015-03-22,2403798.481692857
102,2015-03-29,1644040.4244412857
103,2015-04-05,1864694.0769305716
104,2015-04-12,2204329.3980255714
105,2015-04-19,1799571.5179514284
106,2015-04-26,2155375.2615257143
107,2015-05-03,1867008.2825314286
108,2015-05-10,1577860.1799592858
109,2015-05-17,1403719.0128845714
110,2015-05-24,1385727.7416725715
111,2015-05-31,1482385.6050754285
112,2015-06-07,1380234.0821154283
113,2015-06-14,2484799.3317547143
114,2015-06-21,1258365.0625818574
115,2015-06-28,2998290.0219842857
116,2015-07-05,4942279.936547143
117,2015-07-12,4737722.075018572
118,2015-07-19,2456783.7810685714
119,2015-07-26,2565864.1279614284
120,2015-08-02,1975842.6439114285
121,2015-08-09,2300786.2861457146
122,2015-08-16,3435112.2263285713
123,2015-08-23,5383851.912951429
124,2015-08-30,4498996.3218728565
125,2015-09-06,5085103.758507143
126,2015-09-13,3857595.466807143
127,2015-09-20,4039612.4703728566
128,2015-09-27,4428405.728405715
129,2015-10-04,4545270.625048571
130,2015-10-11,6000450.592781429
131,2015-10-18,5748520.263698571
132,2015-10-25,9436792.642035713
133,2015-11-01,21328490.00924572
134,2015-11-08,11854073.681345714
135,2015-11-15,7430135.902728572
136,2015-11-22,4179323.573637143
137,2015-11-29,4861483.103874287
138,2015-12-06,7717478.144824286
139,2015-12-13,5995666.722557142
140,2015-12-20,5666606.947537142
141,2015-12-27,2806768.7818142856
142,2016-01-03,3235484.8662942857
143,2016-01-10,5534258.642252857
144,2016-01-17,4477270.559309999
145,2016-01-24,2862005.5637850002
146,2016-01-31,2740063.5293300003
147,2016-02-07,2511018.083044286
148,2016-02-14,3729012.0110714287
149,2016-02-21,2955717.1693814285
150,2016-02-28,3372244.782802857
151,2016-03-06,2232319.3099085717
152,2016-03-13,1734920.7670414287
153,2016-03-20,1279729.0510145712
154,2016-03-27,1710549.2962834288
155,2016-04-03,1351272.5033287143
156,2016-04-10,1538899.9740591429
157,2016-04-17,1836489.7451748569
158,2016-04-24,2507822.6552057145
159,2016-05-01,1704880.9189159998
160,2016-05-08,1406688.5042548573
161,2016-05-15,1426970.2337542858
162,2016-05-22,2694258.19584
163,2016-05-29,3921047.4156014286
164,2016-06-05,2571954.64526
165,2016-06-12,8685917.892962858
166,2016-06-19,9978415.93494857
167,2016-06-26,4510206.877001428
168,2016-07-03,4084119.958807142
169,2016-07-10,2205175.8636271427
170,2016-07-17,1975009.751996
171,2016-07-24,1309067.3158407141
172,2016-07-31,5455455.256864286
173,2016-08-07,1698843.1100730002
174,2016-08-14,2400889.3375285715
175,2016-08-21,1950004.972257857
176,2016-08-28,1821560.6093482857
177,2016-09-04,2224598.9355194285
178,2016-09-11,1909413.166753286
179,2016-09-18,1518068.5941032858
180,2016-09-25,1485351.3647714288
181,2016-10-02,1392654.173572143
182,2016-10-09,1906243.1943167143
183,2016-10-16,1987473.6835462856
184,2016-10-23,3072011.6336642853
185,2016-10-30,3921495.2466728576
186,2016-11-06,3239099.280297143
187,2016-11-13,4510489.583771429
188,2016-11-20,3020075.979648571
189,2016-11-27,3918858.083464286
190,2016-12-04,3294010.926075714
191,2016-12-11,2264556.0592714287
192,2016-12-18,6658999.716255715
193,2016-12-25,6772118.7600342855
194,2017-01-01,18163347.87661
195,2017-01-08,11634237.976717144
196,2017-01-15,7198130.9104742855
197,2017-01-22,4746611.783202858
198,2017-01-29,6429932.003459999
199,2017-02-05,9335790.590138571
200,2017-02-12,4920667.7625771435
201,2017-02-19,10359975.140364286
202,2017-02-26,7352133.950184286
203,2017-03-05,14200449.333952857
204,2017-03-12,12080908.601408571
205,2017-03-19,11646939.077810002
206,2017-03-26,9137085.654724285
207,2017-04-02,7990760.342267142
208,2017-04-09,5664400.5467342865
209,2017-04-16,5693721.423092857
210,2017-04-23,7120660.520361428
211,2017-04-30,16058625.5701
212,2017-05-07,23650262.11465714
213,2017-05-14,23517804.51552857
214,2017-05-21,47959010.41365714
215,2017-05-28,32971407.44377143
216,2017-06-04,37600437.17838572
217,2017-06-11,53339454.89607143
218,2017-06-18,31732462.053342853
219,2017-06-25,31670970.422685716
220,2017-07-02,23234637.51302857
221,2017-07-09,30518083.20215714
222,2017-07-16,53378657.49892857
223,2017-07-23,36484603.615414284
224,2017-07-30,30585772.80092857
225,2017-08-06,40056579.6837
226,2017-08-13,68487334.30437143
227,2017-08-20,47698173.16802857
228,2017-08-27,48963066.13938571
229,2017-09-03,73050001.03771429
230,2017-09-10,102021485.63001429
231,2017-09-17,53684371.889699996
232,2017-09-24,43548217.34131429
233,2017-10-01,35652901.77731428
234,2017-10-08,73642298.17102857
235,2017-10-15,72382814.56582856
236,2017-10-22,71355172.79707143
237,2017-10-29,98856000.51638569
238,2017-11-05,122625415.42752858
239,2017-11-12,134049106.87645712
240,2017-11-19,77964368.79807143
241,2017-11-26,173239420.9897143
242,2017-12-03,244885603.79838282
243,2017-12-10,253049085.23423287
244,2017-12-17,398485024.71391284
245,2017-12-24,228678443.23428854
246,2017-12-31,187198907.51373002
247,2018-01-07,202294838.76169142
248,2018-01-14,237365242.05358857
249,2018-01-21,147456155.0947743
250,2018-01-28,190919387.44802427
251,2018-02-04,245525172.47283572
252,2018-02-11,138802747.84034386
253,2018-02-18,174096726.75656143
254,2018-02-25,110089679.75289012
255,2018-03-04,172841898.99754873
256,2018-03-11,148094103.39881313
257,2018-03-18,121532068.11394785
258,2018-03-25,119070917.45475516
259,2018-04-01,90684612.52915616
260,2018-04-08,79505574.66749886
