,Date,Weekly Average Price
0,2013-04-14,96.67714285714285
1,2013-04-21,133.8342857142857
2,2013-04-28,121.81857142857143
3,2013-05-05,113.90571428571427
4,2013-05-12,113.57285714285715
5,2013-05-19,121.57857142857142
6,2013-05-26,127.92999999999998
7,2013-06-02,118.00857142857144
8,2013-06-09,102.67714285714284
9,2013-06-16,101.93142857142857
10,2013-06-23,95.96714285714286
11,2013-06-30,78.81571428571428
12,2013-07-07,82.64714285714285
13,2013-07-14,89.02285714285713
14,2013-07-21,87.88571428571429
15,2013-07-28,95.56714285714284
16,2013-08-04,95.57428571428571
17,2013-08-11,97.5457142857143
18,2013-08-18,106.19571428571427
19,2013-08-25,118.86285714285714
20,2013-09-01,124.69999999999997
21,2013-09-08,124.03142857142858
22,2013-09-15,125.14714285714285
23,2013-09-22,124.47714285714287
24,2013-09-29,120.74428571428572
25,2013-10-06,125.4542857142857
26,2013-10-13,144.4842857142857
27,2013-10-20,185.78
28,2013-10-27,200.4857142857143
29,2013-11-03,272.7442857142857
30,2013-11-10,382.6928571428572
31,2013-11-17,660.7928571428571
32,2013-11-24,966.0999999999998
33,2013-12-01,960.2228571428572
34,2013-12-08,879.0214285714286
35,2013-12-15,662.3785714285714
36,2013-12-22,683.2142857142857
37,2013-12-29,767.6842857142857
38,2014-01-05,858.092857142857
39,2014-01-12,820.8257142857143
40,2014-01-19,815.8542857142858
41,2014-01-26,795.0185714285714
42,2014-02-02,765.4714285714286
43,2014-02-09,661.6014285714285
44,2014-02-16,608.4942857142858
45,2014-02-23,566.8842857142856
46,2014-03-02,644.1828571428572
47,2014-03-09,635.0157142857142
48,2014-03-16,600.37
49,2014-03-23,540.1785714285714
50,2014-03-30,457.2628571428572
51,2014-04-06,429.74000000000007
52,2014-04-13,487.54285714285714
53,2014-04-20,486.63714285714286
54,2014-04-27,446.31714285714287
55,2014-05-04,440.64285714285705
56,2014-05-11,444.28428571428566
57,2014-05-18,494.3471428571429
58,2014-05-25,590.0442857142856
