,Date,Volume (Currency)
170,2015-12-18,5937708.34397
171,2015-12-19,3156242.37545
172,2015-12-20,7430072.73302
173,2015-12-21,8257540.79075
174,2015-12-22,3563201.25457
175,2015-12-23,3125137.4309400003
176,2015-12-24,4598655.91625
177,2015-12-25,1304947.59033
178,2015-12-26,11386692.9169
179,2015-12-27,2921475.21718
180,2015-12-28,3204101.78999
181,2015-12-29,4444308.022
182,2015-12-30,3315825.4312400003
183,2015-12-31,2833319.6997
184,2016-01-01,1640577.9258
185,2016-01-02,1287773.38679
186,2016-01-03,1959152.596
187,2016-01-04,2474772.49753
188,2016-01-05,1677111.44154
189,2016-01-06,2369036.4552700003
190,2016-01-07,7536413.29417
191,2016-01-08,4654977.99088
192,2016-01-09,1976929.7886700002
193,2016-01-10,1813405.06214
194,2016-01-11,3557149.6061699996
195,2016-01-12,3067862.76441
196,2016-01-13,4327468.86359
197,2016-01-14,1903623.7666900002
198,2016-01-15,14756284.2361
199,2016-01-16,9314016.19667
200,2016-01-17,3222126.4473
201,2016-01-18,2680282.37236
202,2016-01-19,2758289.7843
203,2016-01-20,10071637.7108
204,2016-01-21,3886595.6770099998
205,2016-01-22,5747610.60075
206,2016-01-23,2974351.32265
207,2016-01-24,2176476.21361
208,2016-01-25,3169083.78351
209,2016-01-26,2585992.58646
210,2016-01-27,1680905.76765
211,2016-01-28,4361450.23503
212,2016-01-29,5084544.74721
213,2016-01-30,975585.613025
214,2016-01-31,1559953.4024
215,2016-02-01,2703288.00025
216,2016-02-02,2133603.91822
217,2016-02-03,2631356.06623
218,2016-02-04,5138708.84484
219,2016-02-05,2854281.7514400003
220,2016-02-06,2159252.72193
221,2016-02-07,1084985.74964
222,2016-02-08,2599524.22458
223,2016-02-09,2157256.82784
224,2016-02-10,3792903.8762
225,2016-02-11,2820555.1208200003
226,2016-02-12,2285206.43134
227,2016-02-13,2836694.3508900004
228,2016-02-14,3887244.20681
229,2016-02-15,3178245.77789
230,2016-02-16,3372130.2147
231,2016-02-17,4915480.61646
232,2016-02-18,3610499.41429
233,2016-02-19,2101914.46577
234,2016-02-20,5037569.381580001
235,2016-02-21,4513446.9131
236,2016-02-22,2550862.12342
237,2016-02-23,4460860.98972
238,2016-02-24,3044435.8372
239,2016-02-25,2361226.41654
240,2016-02-26,1965128.8742400003
241,2016-02-27,1794059.03145
242,2016-02-28,1503570.38833
243,2016-02-29,3688136.63551
244,2016-03-01,2999990.19582
245,2016-03-02,2484758.40716
246,2016-03-03,3144344.87114
247,2016-03-04,3242408.24085
248,2016-03-05,6542504.740809999
249,2016-03-06,2305615.94252
250,2016-03-07,2435455.2480599997
251,2016-03-08,2294301.5468900003
252,2016-03-09,2006337.14613
253,2016-03-10,2172818.96013
254,2016-03-11,2495505.28728
255,2016-03-12,1916201.03835
256,2016-03-13,1357510.21772
257,2016-03-14,1848804.28557
258,2016-03-15,1898781.05535
259,2016-03-16,1702108.56385
260,2016-03-17,1548743.0322
261,2016-03-18,2620535.27708
262,2016-03-19,1167962.9375200002
263,2016-03-20,1057230.7001399999
264,2016-03-21,1451351.16318
265,2016-03-22,1638956.3973299998
266,2016-03-23,2059556.01224
267,2016-03-24,1155165.75428
268,2016-03-25,1074765.8182299999
269,2016-03-26,521077.51170200005
270,2016-03-27,2135073.9160700003
271,2016-03-28,1388121.94605
272,2016-03-29,2473866.2137
273,2016-03-30,1990559.4952
274,2016-03-31,1566080.96696
275,2016-04-01,1552890.06765
276,2016-04-02,867252.4683540001
277,2016-04-03,558989.7144909999
278,2016-04-04,1445848.17537
279,2016-04-05,1665558.6462700001
280,2016-04-06,1010238.9931200001
281,2016-04-07,1352741.71336
282,2016-04-08,1928359.9085099997
283,2016-04-09,1497170.37218
284,2016-04-10,746886.329426
285,2016-04-11,1467164.56324
286,2016-04-12,2581942.43137
287,2016-04-13,1661013.3098600002
288,2016-04-14,1637346.082
289,2016-04-15,1883221.8725599998
290,2016-04-16,794725.229958
291,2016-04-17,642520.654354
292,2016-04-18,1359481.31183
293,2016-04-19,1634274.11488
294,2016-04-20,3334632.0347700003
295,2016-04-21,2417983.8016
296,2016-04-22,2458441.0827599997
297,2016-04-23,1008095.2160299999
298,2016-04-24,3252973.56094
299,2016-04-25,2589826.88327
300,2016-04-26,2154820.5882099997
301,2016-04-27,3233410.8363
302,2016-04-28,3884773.4545199997
303,2016-04-29,1347430.82735
304,2016-04-30,1091522.43585
305,2016-05-01,537276.056658
306,2016-05-02,2824163.35079
307,2016-05-03,2496652.81069
308,2016-05-04,1488189.71992
309,2016-05-05,1150544.0929100001
310,2016-05-06,2518562.04844
311,2016-05-07,918778.3530040001
312,2016-05-08,619028.389016
313,2016-05-09,1625816.35765
314,2016-05-10,2608139.07303
315,2016-05-11,1520976.99444
316,2016-05-12,1560850.7151600001
317,2016-05-13,1283980.60746
318,2016-05-14,628027.393028
319,2016-05-15,736345.014644
320,2016-05-16,1479592.22802
321,2016-05-17,1555633.96076
322,2016-05-18,1184326.53192
323,2016-05-19,2667369.2716900003
324,2016-05-20,1520946.4163799998
325,2016-05-21,844578.212866
326,2016-05-22,1032621.86861
327,2016-05-23,1157133.4493200001
328,2016-05-24,1366675.3434
329,2016-05-25,1639628.0837700001
330,2016-05-26,1695944.87055
331,2016-05-27,5759605.50279
332,2016-05-28,6208198.25244
333,2016-05-29,4268564.36001
334,2016-05-30,3195665.50708
335,2016-05-31,6465589.816430001
336,2016-06-01,2918877.94306
337,2016-06-02,2110034.26712
338,2016-06-03,4918798.57226
